Condition,Course,Rider,Time (s),Time (min)
No Wind,Designed_Custom_Track,Male TT,1578.14,26.3
Wind 4km/h,Designed_Custom_Track,Male TT,1668.04,27.8
No Wind,Designed_Custom_Track,Male Sprinter,1761.99,29.37
Wind 4km/h,Designed_Custom_Track,Male Sprinter,1875.84,31.26
No Wind,Designed_Custom_Track,Female TT,1767.55,29.46
Wind 4km/h,Designed_Custom_Track,Female TT,1873.46,31.22
No Wind,Designed_Custom_Track,Female Sprinter,1978.69,32.98
Wind 4km/h,Designed_Custom_Track,Female Sprinter,2110.69,35.18
No Wind,Tokyo_Olympic,Male TT,3937.22,65.62
Wind 4km/h,Tokyo_Olympic,Male TT,4217.98,70.3
No Wind,Tokyo_Olympic,Male Sprinter,4346.98,72.45
Wind 4km/h,Tokyo_Olympic,Male Sprinter,4686.14,78.1
No Wind,Tokyo_Olympic,Female TT,2196.48,36.61
Wind 4km/h,Tokyo_Olympic,Female TT,2350.31,39.17
No Wind,Tokyo_Olympic,Female Sprinter,2428.3,40.47
Wind 4km/h,Tokyo_Olympic,Female Sprinter,2616.26,43.6
No Wind,Flanders_WorldChamp,Male TT,3083.67,51.39
Wind 4km/h,Flanders_WorldChamp,Male TT,3253.34,54.22
No Wind,Flanders_WorldChamp,Male Sprinter,3475.23,57.92
Wind 4km/h,Flanders_WorldChamp,Male Sprinter,3688.28,61.47
No Wind,Flanders_WorldChamp,Female TT,2370.88,39.51
Wind 4km/h,Flanders_WorldChamp,Female TT,2513.8,41.9
No Wind,Flanders_WorldChamp,Female Sprinter,2660.67,44.34
Wind 4km/h,Flanders_WorldChamp,Female Sprinter,2841.61,47.36
