Course,Rider,Type,Gender,Time (s),Time (min)
Designed_Custom_Track,Male TT,TT Specialist,Male,1520.55,25.34
Designed_Custom_Track,Male Sprinter,Sprinter,Male,1695.44,28.26
Designed_Custom_Track,Female TT,TT Specialist,Female,1719.07,28.65
Designed_Custom_Track,Female Sprinter,Sprinter,Female,1941.66,32.36
Tokyo_Olympic,Male TT,TT Specialist,Male,3516.8,58.61
Tokyo_Olympic,Male Sprinter,Sprinter,Male,3877.16,64.62
Tokyo_Olympic,Female TT,TT Specialist,Female,1955.58,32.59
Tokyo_Olympic,Female Sprinter,Sprinter,Female,2216.41,36.94
Flanders_WorldChamp,Male TT,TT Specialist,Male,3094.83,51.58
Flanders_WorldChamp,Male Sprinter,Sprinter,Male,3500.77,58.35
Flanders_WorldChamp,Female TT,TT Specialist,Female,2413.41,40.22
Flanders_WorldChamp,Female Sprinter,Sprinter,Female,2682.91,44.72
